Rank,Player,Pos,Team,GP,GP%,GS,GS%,AB,H,2B,3B,HR,RBI,AVG,OBP,SLG,OPS,WAR,TVS,Cash2023
,Andrew Benintendi,LF,CHW,151,0.926,142,0.871,562,147,34,2,5,45,0.262,0.326,0.356,0.682,0.22,10.39,"$16,500,000"
,Ty France,1B,SEA,158,0.975,154,0.951,587,147,32,0,12,58,0.25,0.337,0.366,0.703,0.65,28.7,"$6,775,000"
,Ezequiel Tovar,SS,COL,153,0.944,152,0.938,581,147,37,4,15,73,0.253,0.287,0.408,0.695,2.45,47.89,"$3,000,000"
,Seiya Suzuki,RF,CHC,138,0.852,135,0.833,515,147,31,6,20,74,0.285,0.357,0.485,0.842,2.73,59.77,"$20,000,000"
,Andrew Vaughn,1B,CHW,152,0.933,147,0.902,566,146,30,2,21,80,0.258,0.314,0.429,0.743,1.01,42.87,"$3,250,000"
,Marcell Ozuna,LF,ATL,144,0.883,142,0.871,530,145,29,1,40,100,0.274,0.346,0.558,0.905,3.28,78.92,"$16,000,000"
,Lourdes Gurriel Jr.,LF,ARI,145,0.89,139,0.853,551,145,35,2,24,82,0.263,0.311,0.465,0.775,2.95,65.59,"$10,000,000"
,Ian Happ,LF,CHC,158,0.975,156,0.963,580,144,35,4,21,84,0.248,0.36,0.431,0.791,2.93,72.01,"$20,000,000"
,Alex Verdugo,RF,BOS,142,0.871,135,0.828,546,144,37,5,13,54,0.264,0.324,0.421,0.745,2.62,51.19,"$8,700,000"
,Luis Robert Jr.,CF,CHW,145,0.89,141,0.865,546,144,36,1,38,80,0.264,0.315,0.542,0.857,5.13,92.54,"$12,500,000"
,Austin Hays,LF,BAL,144,0.889,135,0.833,520,143,36,2,16,67,0.275,0.325,0.444,0.769,2.59,58.38,"$6,300,000"
,Gunnar Henderson,SS,BAL,149,0.92,143,0.883,560,143,29,9,28,82,0.255,0.325,0.489,0.814,6.28,95.68,"$756,200"
,J.P. Crawford,SS,SEA,145,0.895,144,0.889,534,142,35,0,19,65,0.266,0.38,0.438,0.818,5.04,85.1,"$10,000,000"
,Spencer Torkelson,1B,DET,159,0.976,159,0.976,606,141,34,1,31,94,0.233,0.313,0.446,0.758,0.76,57.86,"$765,700"
,Manny Machado,3B,SD,138,0.847,138,0.847,543,140,21,0,30,91,0.258,0.32,0.462,0.782,2.87,25.58,"$13,000,000"
,Andres Gimenez,2B,CLE,153,0.944,146,0.901,557,140,27,5,15,62,0.251,0.314,0.399,0.712,5.34,61.33,"$5,000,000"
,Randy Arozarena,LF,TB,151,0.926,149,0.914,551,140,19,3,23,83,0.254,0.364,0.425,0.789,3.5,86.79,"$8,100,000"
,Ha-seong Kim,2B,SD,150,0.92,144,0.883,538,140,23,0,17,60,0.26,0.351,0.398,0.749,5.76,88.85,"$7,000,000"
,Eugenio Suarez,3B,SEA,162,1,161,0.994,598,139,29,0,22,96,0.232,0.323,0.391,0.714,2.19,38.46,"$11,000,000"
,Josh Naylor,1B,CLE,121,0.747,114,0.704,452,139,31,0,17,97,0.308,0.354,0.489,0.842,2.42,79.98,"$6,500,000"
,Dansby Swanson,SS,CHC,147,0.907,147,0.907,565,138,25,3,22,80,0.244,0.328,0.416,0.744,4.78,45.62,"$25,000,000"
,CJ Abrams,SS,WSH,151,0.932,148,0.914,563,138,28,6,18,64,0.245,0.3,0.412,0.712,3.35,79.62,"$752,400"
,Salvador Perez,C,KC,140,0.859,140,0.859,538,137,21,0,23,80,0.255,0.292,0.422,0.714,0.53,9.45,"$20,000,000"
,Josh Lowe,RF,TB,135,0.828,116,0.712,466,136,33,2,20,83,0.292,0.335,0.5,0.835,3.72,91.98,"$755,700"
